Município,repeated,cod_IBGE,UF,Macrorregião
Tapira,2,3168101,MG,Sudeste
Tapira,2,4126900,PR,Sul
Tapiraí,2,3168200,MG,Sudeste
Tapiraí,2,3553500,SP,Sudeste
Tavares,2,2516607,PB,Nordeste
Tavares,2,4321352,RS,Sul
Teodoro Sampaio,2,2931400,BA,Nordeste
Teodoro Sampaio,2,3554300,SP,Sudeste
Terra Nova,2,2615201,PE,Nordeste
Terra Nova,2,2931707,BA,Nordeste
Terra Roxa,2,3554409,SP,Sudeste
Terra Roxa,2,4127403,PR,Sul
Toledo,2,3169109,MG,Sudeste
Toledo,2,4127700,PR,Sul
Trindade,2,2615607,PE,Nordeste
Trindade,2,5221403,GO,Centro-Oeste
Turmalina,2,3169703,MG,Sudeste
Turmalina,2,3555307,SP,Sudeste
Turvo,2,4127965,PR,Sul
Turvo,2,4218806,SC,Sul
Valença,2,2932903,BA,Nordeste
Valença,2,3306107,RJ,Sudeste
Vargem Bonita,2,3170602,MG,Sudeste
Vargem Bonita,2,4219176,SC,Sul
Várzea,2,2414704,RN,Nordeste
Várzea,2,2517100,PB,Nordeste
Várzea Grande,2,2211407,PI,Nordeste
Várzea Grande,2,5108402,MT,Centro-Oeste
Wenceslau Braz,2,3172202,MG,Sudeste
Wenceslau Braz,2,4128500,PR,Sul
Água Boa,2,3100609,MG,Sudeste
Água Boa,2,5100201,MT,Centro-Oeste
