cod_IBGE,IAG0001,IAG0002,IAG0003,IAG2001,IAG2002,IAG2003,IAG2010,IAG2011,IAG2012,IAG2013,IAG2016,IAG2023,IAG3001,IAG3002,IAG3003,IAG3006
4215075,68.43853820598007,92.53731343283582,49.101796407185624,66.68798268483447,98.43886145803079,99.79831767425846,67.94726745044026,67.7455851246987,32.25441487530129,32.05273254955974,100,0.6287077573909194,37,31,1.1333333333333333,97.43589743589743
4215109,74.52273785503647,86.36568036693947,0,42.35637332598259,93.82043910753809,99.89663014265041,45.249580777800745,45.14621092045115,54.85378907954884,54.750419222199255,100,0.5637562309052903,NA,NA,17.908163265306122,92.3076923076923
4215208,44.836789160336686,90.12485811577753,19.170151174010936,54.62551911785766,97.18471337579618,100,56.20793355291423,56.20793355291423,43.79206644708577,43.79206644708577,100,0.9884720034369183,NA,NA,1.9393939393939394,100
4215307,81.35906927551561,100,42.354865085854456,52.46950825324311,97.33370642788616,99.99138042494505,53.915441968710944,53.90682239365599,46.09317760634401,46.08455803128905,100,0.09046244020169805,89.5,NA,0.9375,90.625
4215356,58.6423118865867,100,39.46528332003192,52.00918484500574,95.31491092719875,100,54.565633371603525,54.565633371603525,45.434366628396475,45.434366628396475,100,1.5294297742058935,NA,NA,0.8125,100
4215406,98.28597203428056,100,91.8015102481122,58.13244760991645,98.07059095372884,99.29804136419668,59.9815093822764,59.27612655800575,40.72387344199424,40.01849061772359,100,0.6570675249965757,NA,NA,12.431818181818182,100
4215455,65.84185045723507,75,57.820383451059534,4,7.6923076923076925,34.779299847793,52.83713850837138,52,48.00000000000001,47.16286149162862,0,0.228310502283105,51.785714285714285,NA,0.3320754716981132,100
4215505,98.02572920647052,100,85.1461427886919,52.232756814849225,96.427070197562,99.96266108100725,54.20639908194212,54.16420017303402,45.83579982696598,45.79026455990164,100,1.1400300532762624,21.714285714285715,NA,0.3333333333333333,96.22641509433963
4215554,90.20008166598612,100,84.43579766536965,68.45882352941176,85.07309941520467,87.05882352941177,81.20588235294119,60.588235294117645,39.411764705882355,18.794117647058815,3.009259259259259,2594.1176470588234,60,NA,0.47619047619047616,100
4215604,37.41109530583215,100,16.455696202531644,86.79810331919143,95.54945054945055,99.92513102071375,90.915897179935115,90.84102820064886,9.15897179935114,9.084102820064889,100,0.4190167207387072,NA,NA,0.9333333333333333,100
4215653,56.682167408006464,98.15257552705934,20.61992061992062,95.18033447511586,100,80.87850090670965,95.18033447511586,133.98750755591377,-33.987507555913766,4.819665524884146,100,1.2734233326616966,68.44444444444444,NA,0.5833333333333334,100
4215679,28.566167444144362,100,13.664688427299703,67.01426161631653,95.83333333333334,89.64882686704495,80.28676583346113,69.92792516485203,30.072074835147976,19.71323416653886,100,2.0887900628737928,42,NA,1.4482758620689655,97.5609756097561
